,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
A01_02_1FE,-0.17775565,-0.18728226,-0.006629201,0.07001676,-0.05735451,-0.22196604,0.095803834,0.015818367,0.14257267,0.038911268,0.2478178,0.0063977484,-0.026592946,-0.034093656,0.13451733,0.018979166,0.09255989,-0.10919156,0.008785408,-0.040061124,-0.25571308,-0.007953465,0.034706216,-0.10933832,-0.028371377,0.064509846,-0.033906654,0.0429098,0.0897903,0.04094351,-0.011599343,-0.035549466,0.036972985,0.008423785,-0.14746177,0.07824388,-0.18306744,-0.16833934,-0.1741382,-0.161369,0.15468183,-0.038125195,-0.061133012,0.05435857,0.15920886,-0.040872335,0.13904999,-0.012804243,-0.0039789323,0.015617905,0.15124199,0.0655124,0.10064073,0.14712854,-0.17064947,-0.098577216,-0.032817394,0.39417934,-0.031250656,-0.049439237,-0.0011844614,-0.13246757,0.104896195,0.122548684
A02_01_1FE,-0.08181513,-0.059778985,-0.09751418,0.036628738,0.0042023496,-0.10059409,-0.06603288,0.10928474,0.009824898,-0.046658635,0.16354877,0.11603024,-0.12599991,-0.10667494,-0.057041913,0.02812324,0.20021118,-0.027185403,-0.0054810457,0.008207357,-0.15843554,0.026022444,0.053091142,-0.03629025,0.045653358,0.10979139,0.08529782,0.010670161,0.087976515,-0.0174152,-0.16409679,0.032483526,0.1474135,0.04532848,-0.42985126,0.15905203,-0.15235204,-0.114893235,-0.08029936,-0.10350195,0.033111863,-0.09204617,-0.013365055,0.011083072,0.035355777,0.03310954,0.070467725,0.06718515,0.03372119,0.018342774,-0.024499785,0.0076880045,0.24193968,-0.035338216,-0.12855501,-0.059803497,-0.13660459,0.36489916,-0.06006746,-0.2508963,0.025669154,-0.046024658,-0.03376084,0.07137479
A10_01_1FE,-0.17072505,0.13137236,0.0045141745,0.044455063,-0.004154552,0.08214526,-0.20868745,-0.1383939,-0.24319404,-0.2424223,-0.26849183,0.10676835,-0.18371509,-0.04463371,-0.076795146,-0.24978547,0.16527188,-0.009924066,-0.20685937,-0.13168983,0.26644602,0.07601684,0.18746358,-0.043531872,-0.13983332,0.06660041,0.11761581,-0.0004901849,0.16518831,-0.036091067,0.0822697,0.101393536,-0.018740507,0.026242562,-0.21743712,0.031119425,-0.028578449,-0.045368128,0.01914434,0.03245508,-0.1538339,-0.008034444,-0.004497215,0.02209899,0.19384181,-0.029451013,0.04623312,0.0057354663,0.14956258,0.006690519,-0.014679278,0.19974823,-0.07006487,0.04472537,-0.13924196,0.028779361,-0.09883204,0.11692749,-0.033138692,-0.18140279,0.12094273,0.093450494,0.07817359,0.0335373
A10_02_1FE,-0.18197915,-0.02503955,0.039014425,0.006743491,-0.041995637,-0.01279173,-0.07451925,-0.10139652,0.047637623,-0.025778975,0.12680404,-0.16071802,-0.053866044,0.020929664,-0.018537242,-0.123882055,0.04735999,-0.03615883,-0.09627934,0.09756039,-0.004444496,-0.00072207116,0.019800274,-0.026660193,-0.025965104,0.0078092404,0.040802356,0.0999052,0.10982608,0.05054599,0.009285703,0.07852582,0.016881049,0.03985276,0.17492363,-0.048701596,-0.088385455,-0.08229217,-0.124970905,-0.119810924,-0.15472957,-0.05687951,0.02294534,0.030185917,0.091102585,0.040772654,0.034626346,-0.055125255,0.08791925,0.09649214,0.060502864,0.044736065,0.047455084,-0.014059506,-0.06821628,0.068442695,-0.111780524,0.39133856,-0.07552971,0.027816312,0.12060858,0.13550393,0.04655522,0.02184739
A11_01_1FE,0.059342053,0.08625621,0.010159948,-0.005250385,-0.08358335,0.1432126,0.11291727,-0.117744185,0.005344309,-0.036918115,0.12453573,0.059759215,-0.072072215,0.00197085,-0.046274625,0.03556813,0.122894816,-0.033578463,-0.015945401,0.056448698,-0.08538799,-0.071869954,-0.020887459,-0.061846018,0.10903532,-0.027291609,0.061890464,0.18728283,0.3433603,-0.17535496,-0.16353016,-0.062299505,-0.0853997,-0.087539084,-0.082122974,0.019157711,-0.2105042,-0.021462183,-0.036532976,-0.075982064,0.0012164712,-0.112786874,-0.13672353,0.15494345,-0.15402606,0.12864974,0.013733745,-0.049728263,0.04987966,0.04960218,0.10759078,0.06008183,-0.047465377,0.01622419,0.104729585,-0.19316192,0.16324812,0.18256685,0.19398135,-0.03777004,0.14139096,0.061186153,-0.0037116427,-0.09564982
A13_01_1FE,-0.17430907,-0.081912875,0.13542897,-0.0054860013,0.01801714,-0.075529784,0.03253673,-0.10025077,-0.041159466,-0.013348242,0.18911962,-0.047631856,-0.0026669991,0.025092162,-0.11170911,0.1733932,0.003384644,-0.06934729,0.13016784,-0.015420642,-0.06677681,-0.028161399,0.01995499,0.046155654,0.052063875,-0.03552816,0.031682197,0.06926995,0.15333039,-0.089256346,-0.1102515,-0.046085812,-0.0020597856,-0.1610119,-0.18063614,0.009015113,-0.22291146,-0.09460558,-0.120329164,4.089717e-05,0.01138223,-0.09537391,-0.023813196,0.1370839,-0.06989245,0.00308894,-0.0042069796,-0.052411307,0.06986526,0.056125425,0.032512367,0.08522335,-0.04385736,0.17641345,0.07313476,-0.13294928,-0.06729403,0.42460364,0.24333301,-0.018861935,0.08256836,-0.031193992,0.028257594,-0.0027275337
A14_01_1FE,-0.05556608,-0.01668934,-0.05111147,0.021185234,-0.06171546,-0.073488995,0.012082964,0.14752944,0.24641053,-0.03364717,0.2276134,0.23339681,-0.02723984,-0.05514138,-0.014651276,-0.07779376,0.14351922,-0.068290174,0.07906709,-0.017864514,-0.10584604,-0.024040326,0.10529715,-0.09015574,0.012742283,0.08045607,0.032480337,0.016657185,0.19816095,-0.03208082,-0.04995404,-0.08010459,0.13194591,0.028478093,-0.51797837,0.30671504,-0.1238217,-0.08734447,-0.094837055,-0.119731136,0.11974572,-0.08978774,-0.10719981,0.08286986,-0.023401907,0.11463408,-0.03293757,0.12163778,0.0041256566,-0.020122252,0.034754112,-0.03267821,0.15203291,-0.046951413,-0.08983691,-0.061504554,0.118112534,0.2226603,-0.0012713782,-0.0916208,-0.098317415,-0.18200949,-0.07532657,0.12064648
A19_01_1FE,-0.002364453,-0.122240506,-0.07469827,0.008020122,0.054902866,-0.15242773,-0.013891372,0.17689121,0.13229322,0.13436072,0.030281227,0.113158025,-0.135148,-0.030110192,-0.024800688,0.07394056,0.08947156,-0.06746699,0.1695423,-0.03291218,-0.14465897,0.01706282,0.009310707,-0.019323137,0.03472741,0.20456542,0.025089718,0.011855632,0.033113662,-0.034326002,-0.1554932,-0.026154347,0.15927,-0.012921861,-0.6045912,0.31583568,-0.2746822,-0.11721628,-0.17926073,-0.03681043,0.1697752,-0.03681515,-0.016745819,-0.007552959,-0.09304567,0.027273871,0.0027070232,0.0062930724,-0.0440218,0.0514951,-0.05201309,0.02525656,0.24065329,0.08129757,-0.038310006,0.031465642,0.08418541,0.117373586,-0.04345783,-0.17725746,-0.0603413,-0.122376636,-0.09399178,0.029933613
A20_01_1FE,0.080499396,0.0013273619,-0.08655152,0.034254882,0.017280227,-0.16456404,-0.054406773,0.18920931,0.19312012,0.040823102,0.051421918,0.1781013,-0.11123897,-0.07553193,0.0045059845,-0.028152293,0.07911248,-0.029731292,0.077903174,-0.08834386,-0.09709686,0.0003161505,0.016773773,0.018696925,-0.021313483,0.12763171,0.07005079,-0.058405124,0.07283142,-0.0005351277,-0.050024528,-0.025800118,0.11966175,0.037176218,-0.688985,0.42760816,-0.23961043,-0.07115904,-0.13776524,-0.07240029,0.20384437,-0.03155248,-0.03284548,-0.0051353946,-0.10008413,0.034840055,0.046487037,0.076749355,0.002693199,0.018811194,-0.060413964,0.06568652,0.13886917,0.05787801,-0.07982999,-0.020628817,0.015127249,0.057512723,-0.0066471063,-0.29289177,-0.10010575,-0.18147253,-0.0863218,0.052677948
A22_01_1FE,-0.023832612,-0.07745315,0.036288023,-0.02808201,-0.17683215,-0.14836489,0.037920862,-0.011954693,0.258242,0.10855538,0.13539535,-0.0030617868,-0.15986481,0.07297229,0.17046511,-0.22145258,-0.054714933,0.016152812,0.03171261,-0.043950617,0.02530001,0.06438144,0.1048484,-0.08616501,-0.022089096,-0.024340944,0.087105915,-0.075002566,0.076607145,0.14341769,0.10442735,-0.022095965,-0.14634888,-0.037750017,0.09359955,0.08692494,0.002885867,-0.005518319,-0.11848404,-0.020780534,-0.081422985,-0.023579698,0.03623235,0.036918007,0.071220644,0.07791138,0.08397554,0.08343251,0.07231491,0.07202941,0.134055,0.10739393,-0.24719469,0.028704599,0.021683011,0.06742709,-0.112736434,0.40028465,-0.087460555,0.022681491,0.12585457,-0.110262096,-0.027865125,-0.045303456
